reference_tables,predicted_tables
"student_addresses, students","student_addresses, students"
"students, behavior_incident","students, behavior_incident"
teachers,teachers
"addresses, teachers","addresses, teachers"
teachers,teachers
detention,detention
assessment_notes,assessment_notes
student_addresses,student_addresses
"addresses, Student_addresses","addresses, Student_addresses"
"behavior_incident, students","behavior_incident, students"
student_addresses,student_addresses
"behavior_incident, ref_incident_type","ref_incident_type, behavior_incident"
"assessment_notes, teachers","assessment_notes, teachers"
addresses,addresses
"detention, teachers","detention, teachers"
assessment_notes,assessment_notes
behavior_incident,behavior_incident
students,students
ref_incident_type,ref_incident_type
addresses,addresses
"detention, teachers","detention, teachers"
behavior_incident,behavior_incident
"addresses, students",None
"behavior_incident, students","behavior_incident, students"
"addresses, Student_addresses","addresses, Student_addresses"
competition,competition
club,club
player,player
player,player
player,player
competition,competition
competition,competition
competition,competition
player,player
club_rank,club_rank
"club, player","club, player"
"club, player","club, player"
competition,competition
player,player
"club, player","club, player"
club,club
competition,competition
club_rank,club_rank
competition,competition
club,club
"club, player","club, player"
competition,competition
player,player
player,player
competition,competition
player,player
competition,competition
club_rank,club_rank
"club, player","club, player"
club_rank,club_rank
club_rank,club_rank
competition,competition
club_rank,club_rank
"club, player","club, player"
"club, player","club, player"
player,player
club,club
player,player
competition,competition
competition,competition
player,player
competition,competition
club,club
competition,competition
club,club
competition,competition
player,player
track,track
"race, track","race, track"
track,track
race,race
race,race
race,race
race,race
"track, race","track, race"
track,track
track,track
race,race
race,race
track,track
track,track
race,race
"race, track","race, track"
track,track
track,track
track,track
"race, track","race, track"
"track, race","track, race"
track,tracks
race,race
track,track
race,race
track,track
race,race
track,track
"track, race","track, race"
track,tracks
race,race
"track, race","track, race"
race,race
"race, track","race, track"
"race, track","race, track"
track,track
"race, track","race, track"
track,track
"film, film_market_estimation, market","film, film_market_estimation, market"
"film, film_market_estimation","film, film_market_estimation"
"film, film_market_estimation","film, film_market_estimation"
film,film
"film_market_estimation, market","film_market_estimation, market"
market,market
"film, film_market_estimation","film, film_market_estimation"
film,film
film,film
market,market
film_market_estimation,film_market_estimation
market,market
"film, film_market_estimation","film, film_market_estimation"
film,film
market,market
market,market
"film, film_market_estimation, market",film
film,film
film_market_estimation,film_market_estimation
market,market
film,film
market,market
market,market
film,film
"film_market_estimation, market","film_market_estimation, market"
film,film
film,film
film,film
"film, film_market_estimation","film, film_market_estimation"
film_market_estimation,film_market_estimation
film_market_estimation,film_market_estimation
"film_market_estimation, market","film_market_estimation, market"
"film_market_estimation, market","film_market_estimation, market"
film,film
film,film
"film, film_market_estimation","film, film_market_estimation"
"film, film_market_estimation","film, film_market_estimation"
"film, film_market_estimation","film, film_market_estimation"
film,film
film,film
film,film
film,film
film,film
film,film
catalog_contents,catalog_contents
"catalog_contents, catalog_contents_Additional_Attributes",catalog_contents
"catalogs, catalog_structure","catalogs, catalog_structure"
"catalog_contents, catalog_structure","catalog_contents, catalog_structure"
catalog_contents,catalog_contents
catalog_contents,catalog_contents
catalog_contents,catalog_contents
catalog_contents,catalog_contents
attribute_definitions,attribute_definitions
catalogs,catalogs
catalog_contents,catalog_contents
catalog_contents,catalog_contents
catalog_contents,catalog_contents
"attribute_definitions, catalog_contents_additional_attributes","catalog_contents_additional_attributes, attribute_definitions"
catalog_contents,catalog_contents
catalog_contents,None
catalog_contents,catalog_contents
catalog_contents,catalog_contents
"catalogs, catalog_structure","catalogs, catalog_structure"
catalog_contents,catalog_contents
catalog_contents,catalog_contents
catalog_structure,catalog_structure
catalogs,catalogs
"attribute_definitions, catalog_contents_additional_attributes","catalog_contents_additional_attributes, attribute_definitions"
catalog_contents,None
"catalog_contents, catalog_contents_Additional_Attributes","catalog_contents, catalog_contents_additional_attributes"
catalogs,catalogs
catalog_contents,catalog_contents
"catalog_contents, catalog_structure","catalog_contents, catalog_structure"
attribute_definitions,attribute_definitions
"catalog_contents, catalog_contents_Additional_Attributes","catalog_contents, catalog_contents_additional_attributes"
catalog_contents,catalog_contents
catalogs,catalogs
catalog_contents,catalog_contents
catalog_structure,catalog_structure
catalog_contents,catalog_contents
attribute_definitions,attribute_definitions
catalogs,catalogs
"routes, airports","routes, airports"
"airlines, routes","routes, airlines"
airlines,airlines
airports,airports
airports,airports
airports,airports
airports,airports
"routes, airports","airports, routes"
airlines,airlines
airlines,airlines
airports,airports
airports,airports
airports,airports
"airports, routes","airports, routes"
airlines,airlines
airlines,airlines
airports,airports
"airlines, routes","routes, airlines"
"airports, routes","airports, routes"
airlines,airlines
airports,airports
"airports, routes","airports, routes"
"routes, airports","routes, airports"
airports,airports
"airports, routes","airports, routes"
airports,airports
airports,airports
airports,airports
airports,airports
airports,airports
airports,airports
"airports, routes","airports, routes"
"airports, routes","airports, routes"
airlines,airlines
airports,airports
airlines,airlines
"airports, routes","airports, routes"
"airlines, routes","routes, airlines"
airports,airports
"airlines, routes","routes, airlines"
"airports, routes","airports, routes"
"airports, routes","airports, routes"
airports,airports
"airports, routes","airports, routes"
airlines,airlines
airports,airports
"airports, routes","airports, routes"
airports,airports
"routes, airports, airlines","routes, airports, airlines"
airports,airports
"routes, airports","routes, airports"
airports,airports
airports,airports
airports,airports
"airports, routes","airports, routes"
airports,airports
"airports, routes","airports, routes"
"airlines, routes","routes, airlines"
"routes, airports","routes, airports"
"routes, airports","airports, routes"
"airlines, routes","routes, airlines"
airlines,airlines
airports,airports
airlines,airlines
"airlines, routes","routes, airlines"
airports,airports
airports,airports
airlines,airlines
airports,airports
"airlines, routes","routes, airlines"
"routes, airports, airlines","routes, airports, airlines"
airports,airports
airports,airports
"airlines, routes","routes, airlines"
"artist, song","artist, song"
song,song
"files, song",files
"files, song","files, song"
"artist, song","artist, song"
"artist, song","artist, song"
"song, files","song, files"
"files, song","files, song"
song,song
song,song
"artist, song","artist, song"
artist,artist
song,song
"artist, song","artist, song"
song,song
files,files
files,files
song,song
song,song
"artist, song","artist, song"
"files, song","files, song"
"artist, song",song
"files, song","files, song"
files,files
"files, song","files, song"
"files, song","files, song"
song,song
"files, song","files, song"
"files, song","files, song"
"artist, song","artist, song"
"artist, song","artist, song"
artist,artist
files,files
song,song
"files, song","files, song"
"artist, song","artist, song"
"files, song","files, song"
"artist, song","artist, song"
"artist, song","artist, song"
genre,genre
"song, files","song, files"
artist,artist
"files, song","files, song"
song,song
"artist, song","artist, song"
song,song
"artist, song","artist, song"
song,song
files,files
song,song
"files, song","files, song"
song,song
"artist, song",song
"artist, song","artist, song"
"files, song","files, song"
artist,artist
"files, song","files, song"
song,song
song,song
genre,genre
"artist, song","artist, song"
song,song
"artist, song","artist, song"
"artist, song","artist, song"
"files, song","files, song"
files,files
"artist, song","artist, song"
"artist, song","artist, song"
"artist, song","artist, song"
song,song
"files, song","files, song"
"artist, song","artist, song"
"artist, song","artist, song"
song,song
song,song
song,song
song,song
"artist, song","artist, song"
artist,artist
"artist, song","artist, song"
"artist, song","artist, song"
song,song
song,song
"files, song","files, song"
"files, song","files, song"
"artist, song","artist, song"
song,song
files,files
"artist, song","artist, song"
song,song
injury_accident,injury_accident
game,game
"game, stadium, injury_accident","stadium, game, injury_accident"
"stadium, game, injury_accident","stadium, game, injury_accident"
"game, injury_accident","game, injury_accident"
"stadium, game, injury_accident","stadium, game, injury_accident"
game,game
game,game
stadium,stadium
"stadium, game, injury_accident","stadium, game, injury_accident"
"game, stadium, injury_accident","stadium, game, injury_accident"
"game, injury_accident","game, injury_accident"
"game, injury_accident","game, injury_accident"
"injury_accident, game","injury_accident, game"
injury_accident,injury_accident
"stadium, game","stadium, game"
stadium,stadium
"game, injury_accident","game, injury_accident"
"physician, appointment","physician, appointment"
"procedures, physician, trained_in","physician, trained_in, procedures"
"patient, prescribes, medication","patient, prescribes, medication"
"nurse, appointment","nurse, appointment"
"procedures, physician, trained_in","physician, trained_in, procedures"
undergoes,undergoes
department,department
stay,stay
physician,physician
"physician, trained_in, procedures","physician, trained_in, procedures"
"procedures, physician, trained_in","physician, trained_in, procedures"
room,"block, room"
"patient, appointment","patient, appointment"
"physician, affiliated_with, department","physician, affiliated_with, department"
"physician, affiliated_with, department","physician, affiliated_with, department"
"physician, trained_in, procedures","physician, trained_in, procedures"
"physician, trained_in, procedures","physician, trained_in, procedures"
"physician, prescribes","physician, prescribes"
"stay, patient, prescribes, medication","stay, patient, prescribes, medication"
"patient, prescribes, medication","patient, prescribes, medication"
"physician, affiliated_with, department","physician, affiliated_with, department"
"appointment, physician","physician, appointment"
room,room
nurse,nurse
"procedures, physician, trained_in","physician, trained_in, procedures"
appointment,appointment
"nurse, on_call","nurse, on_call"
"appointment, patient","patient, appointment"
"physician, prescribes, medication","physician, prescribes, medication"
"physician, trained_in, procedures","physician, trained_in, procedures"
"physician, affiliated_with, department","physician, affiliated_with, department"
"affiliated_with, department","affiliated_with, department"
stay,stay
"physician, patient","physician, patient"
"stay, patient, prescribes, medication","stay, patient, prescribes, medication"
"appointment, physician","appointment, physician"
affiliated_with,affiliated_with
"undergoes, patient, stay","undergoes, patient, stay"
appointment,appointment
"nurse, appointment","nurse, appointment"
nurse,nurse
"nurse, on_call","nurse, on_call"
"physician, patient","physician, patient"
affiliated_with,affiliated_with
"medication, prescribes","prescribes, medication"
room,None
"physician, trained_in, procedures","physician, trained_in, procedures"
"medication, prescribes","prescribes, medication"
"physician, prescribes, medication","physician, prescribes, medication"
department,department
"physician, prescribes","physician, prescribes"
"appointment, patient","patient, appointment"
stay,stay
"block, room","block, room"
"undergoes, patient, stay","undergoes, stay"
"procedures, physician, trained_in","physician, trained_in, procedures"
"block, room","block, room"
room,room
"physician, appointment","physician, appointment"
"undergoes, nurse","undergoes, nurse"
procedures,procedures
"procedures, physician, trained_in","physician, trained_in, procedures"
"physician, trained_in, procedures","physician, trained_in, procedures"
"affiliated_with, department","affiliated_with, department"
"physician, prescribes, medication","physician, prescribes, medication"
procedures,procedures
"department, physician","department, physician"
"physician, affiliated_with, department","physician, affiliated_with, department"
appointment,appointment
"physician, prescribes, medication","physician, prescribes, medication"
on_call,"on_call, nurse"
"patient, prescribes, physician","patient, prescribes, physician"
on_call,on_call
procedures,procedures
"patient, prescribes, medication","patient, prescribes, medication"
procedures,procedures
procedures,procedures
physician,physician
stay,stay
"block, room","block, room"
"physician, trained_in, procedures","physician, trained_in, procedures"
"block, room","block, room"
"undergoes, nurse","undergoes, nurse"
department,department
department,department
"physician, patient","physician, patient"
"physician, affiliated_with, department","physician, affiliated_with, department"
"patient, prescribes, physician","patient, prescribes, physician"
procedures,procedures
"physician, trained_in, procedures","physician, trained_in, procedures"
"grapes, wine","grapes, wine"
wine,wine
wine,wine
wine,wine
"appellations, wine","wine, appellations"
"grapes, wine","grapes, wine"
wine,wine
"grapes, wine","grapes, wine"
"wine, appellations","wine, appellations"
wine,wine
"appellations, wine","wine, appellations"
wine,wine
"appellations, wine","wine, appellations"
wine,wine
wine,wine
wine,wine
wine,wine
wine,wine
wine,wine
wine,wine
wine,wine
"grapes, wine","grapes, wine"
"wine, appellations","wine, appellations"
appellations,appellations
wine,wine
wine,wine
wine,wine
wine,wine
"appellations, wine","wine, appellations"
wine,wine
wine,wine
wine,wine
appellations,appellations
wine,wine
"grapes, wine","grapes, wine"
wine,wine
wine,wine
wine,wine
"appellations, wine","wine, appellations"
wine,wine
"grapes, wine","grapes, wine"
"appellations, wine",wine
wine,wine
wine,wine
wine,wine
"wine, appellations","wine, appellations"
"appellations, wine","wine, appellations"
"grapes, wine","grapes, wine"
"grapes, wine","grapes, wine"
wine,wine
wine,wine
wine,wine
appellations,appellations
wine,wine
"grapes, wine","grapes, wine"
wine,wine
wine,wine
wine,wine
wine,wine
"appellations, wine","wine, appellations"
wine,wine
wine,wine
appellations,appellations
wine,wine
"appellations, wine","wine, appellations"
"appellations, wine","wine, appellations"
wine,wine
"appellations, wine",wine
wine,wine
"grapes, wine","grapes, wine"
wine,wine
wine,wine
wine,wine
"appellations, wine","wine, appellations"
companies,None
buildings,buildings
"office_locations, buildings, companies","office_locations, buildings, companies"
companies,companies
companies,companies
companies,companies
"office_locations, buildings, companies","office_locations, buildings, companies"
companies,companies
buildings,buildings
companies,companies
companies,companies
companies,companies
companies,companies
buildings,buildings
buildings,buildings
companies,None
companies,companies
companies,companies
companies,companies
"buildings, office_locations","buildings, office_locations"
companies,companies
companies,companies
companies,companies
companies,companies
"office_locations, buildings, companies","office_locations, buildings, companies"
companies,companies
"office_locations, buildings, companies","office_locations, buildings, companies"
companies,companies
buildings,buildings
companies,companies
companies,companies
"office_locations, buildings, companies","office_locations, buildings, companies"
companies,companies
companies,companies
companies,None
"office_locations, buildings, companies","office_locations, buildings, companies"
"member, party","member, party"
party,party
party,party
party,party
"party_events, party","party_events, party"
"region, party, party_events","region, party, party_events"
party,party
member,member
"member, party","member, party"
party_events,party_events
"party_events, party","party_events, party"
"member, party","member, party"
party_events,party_events
"member, party","member, party"
"member, party_events","member, party_events"
"member, party","member, party"
party,party
party,party
region,region
"party, member","party, member"
"party_events, party","party_events, party"
"party, region","party, region"
"party, region","party, region"
party,party
region,region
"member, party_events","member, party_events"
party,party
"member, party_events","member, party_events"
"member, party","member, party"
"party_events, party","party_events, party"
"member, party","member, party"
"party, member","party, member"
party,party
"member, party","member, party"
region,region
member,member
party,None
"region, party, party_events","region, party, party_events"
party,party
"member, party_events","member, party_events"
web_client_accelerator,web_client_accelerator
browser,browser
web_client_accelerator,web_client_accelerator
"browser, accelerator_compatible_browser","accelerator_compatible_browser, browser"
browser,browser
"web_client_accelerator, accelerator_compatible_browser","web_client_accelerator, accelerator_compatible_browser, browser"
web_client_accelerator,web_client_accelerator
web_client_accelerator,web_client_accelerator
"accelerator_compatible_browser, browser, web_client_accelerator","accelerator_compatible_browser, web_client_accelerator, browser"
"accelerator_compatible_browser, browser, web_client_accelerator","accelerator_compatible_browser, web_client_accelerator, browser"
"web_client_accelerator, accelerator_compatible_browser, browser","web_client_accelerator, accelerator_compatible_browser, browser"
"web_client_accelerator, accelerator_compatible_browser, browser","web_client_accelerator, accelerator_compatible_browser, browser"
browser,browser
browser,browser
browser,browser
"web_client_accelerator, accelerator_compatible_browser, browser","web_client_accelerator, accelerator_compatible_browser, browser"
"web_client_accelerator, accelerator_compatible_browser","web_client_accelerator, accelerator_compatible_browser"
"sales, transactions","sales, transactions"
lots,lots
"investors, transactions","investors, transactions"
"investors, transactions","investors, transactions"
transactions,transactions
"lots, transactions_lots","lots, transactions_lots"
transactions,transactions
"investors, transactions","investors, transactions"
transactions,transactions
transactions,transactions
transactions,transactions
transactions,transactions
transactions,transactions
transactions,transactions
transactions,transactions
"ref_transaction_types, transactions","transactions, ref_transaction_types"
"transactions, transactions_lots","transactions, transactions_lots"
lots,lots
transactions,transactions
"ref_transaction_types, transactions","transactions, ref_transaction_types"
transactions,transactions
"investors, lots","investors, lots"
transactions,transactions
transactions,transactions
investors,investors
"investors, transactions","investors, transactions"
transactions,transactions
transactions,transactions
"investors, transactions","investors, transactions"
investors,investors
"lots, transactions_lots, transactions","transactions, transactions_lots, lots"
"transactions, transactions_lots","transactions, transactions_lots"
ref_transaction_types,ref_transaction_types
transactions,transactions
transactions,transactions
transactions,transactions
"sales, purchases","sales, purchases"
"university, basketball_match","university, basketball_match"
university,university
basketball_match,basketball_match
university,university
basketball_match,basketball_match
"university, basketball_match","university, basketball_match"
university,university
basketball_match,basketball_match
university,university
"university, basketball_match","university, basketball_match"
"university, basketball_match","university, basketball_match"
university,university
"university, basketball_match","university, basketball_match"
"university, basketball_match","university, basketball_match"
university,university
university,university
"university, basketball_match","university, basketball_match"
basketball_match,basketball_match
"university, basketball_match","university, basketball_match"
"university, basketball_match","university, basketball_match"
university,university
university,university
basketball_match,basketball_match
basketball_match,basketball_match
university,university
university,university
university,university
university,university
university,university
university,university
university,university
basketball_match,basketball_match
university,university
university,university
university,university
university,university
university,university
university,university
basketball_match,basketball_match
university,university
university,university
university,university
"restaurant, geographic, location","restaurant, geographic, location"
"restaurant, location","restaurant, location"
"restaurant, location","restaurant, location"
"restaurant, location","restaurant, location"
"restaurant, location","restaurant, location"
"restaurant, geographic, location","restaurant, geographic, location"
"restaurant, location","restaurant, location"
"restaurant, geographic","restaurant, geographic"
"restaurant, location","restaurant, location"
"restaurant, location","restaurant, location"
"restaurant, location","restaurant, location"
"restaurant, geographic, location","restaurant, geographic, location"
"location, restaurant, geographic","restaurant, geographic, location"
"location, restaurant, geographic","restaurant, geographic, location"
"restaurant, location","restaurant, location"
"restaurant, location","restaurant, location"
"restaurant, location","restaurant, location"
"restaurant, location",business
"restaurant, location","restaurant, location"
"restaurant, geographic","restaurant, geographic"
"restaurant, geographic, location","restaurant, geographic, location"
"restaurant, location","restaurant, location"
"restaurant, geographic, location","restaurant, geographic, location"
"restaurant, location","restaurant, location"
"restaurant, location","restaurant, location"
"restaurant, geographic, location","restaurant, geographic, location"
"restaurant, geographic, location","restaurant, geographic, location"
"restaurant, location","restaurant, location"
"restaurant, geographic, location","restaurant, geographic, location"
"restaurant, location","restaurant, location"
"restaurant, geographic, location","restaurant, geographic, location"
"restaurant, location","restaurant, location"
"restaurant, geographic, location","restaurant, geographic, location"
"location, restaurant, geographic","restaurant, geographic, location"
"restaurant, location","restaurant, location"
"restaurant, location","restaurant, location"
"restaurant, geographic, location","restaurant, geographic, location"
"restaurant, location","restaurant, location"
"restaurant, geographic, location","restaurant, geographic, location"
"restaurant, location","restaurant, location"
"location, restaurant, geographic","restaurant, geographic, location"
"restaurant, location","restaurant, location"
"restaurant, location","restaurant, location"
"restaurant, geographic","restaurant, geographic"
"restaurant, location","restaurant, location"
"restaurant, location","restaurant, location"
"restaurant, location","category, business"
"restaurant, location","restaurant, location"
"restaurant, location","restaurant, location"
"restaurant, location","restaurant, location"
"restaurant, geographic, location","restaurant, geographic, location"
"restaurant, location","restaurant, location"
"restaurant, location","restaurant, location"
"restaurant, location","restaurant, location"
"restaurant, location","restaurant, location"
"restaurant, location","restaurant, location"
"restaurant, location","restaurant, location"
"restaurant, location","restaurant, location"
"restaurant, location","restaurant, location"
"restaurant, location","restaurant, location"
"restaurant, location","restaurant, location"
"restaurant, location","restaurant, location"
"restaurant, geographic, location","restaurant, geographic, location"
"restaurant, geographic, location","restaurant, geographic, location"
"restaurant, location","restaurant, location"
"restaurant, location","restaurant, location"
"restaurant, location","restaurant, location"
"location, restaurant, geographic","restaurant, geographic, location"
"restaurant, location","restaurant, location"
"restaurant, location","restaurant, location"
"restaurant, geographic, location","restaurant, geographic, location"
"restaurant, location","restaurant, location"
"restaurant, location","restaurant, location"
"restaurant, location","restaurant, location"
"restaurant, location","restaurant, location"
"restaurant, location","restaurant, location"
"location, restaurant, geographic","restaurant, geographic, location"
"restaurant, location","restaurant, location"
"restaurant, location","restaurant, location"
"restaurant, geographic","restaurant, geographic"
"restaurant, geographic","restaurant, geographic"
"restaurant, geographic, location","restaurant, geographic, location"
"restaurant, location","restaurant, location"
"restaurant, location","restaurant, location"
"restaurant, geographic, location","restaurant, geographic, location"
"restaurant, geographic","restaurant, geographic"
"restaurant, location","restaurant, location"
"restaurant, location","restaurant, location"
"restaurant, geographic, location","restaurant, geographic, location"
"restaurant, location","restaurant, location"
"restaurant, location","restaurant, location"
"restaurant, location","restaurant, location"
"restaurant, location","restaurant, location"
"restaurant, location","restaurant, location"
"restaurant, location","restaurant, location"
"restaurant, location","restaurant, location"
"restaurant, location","restaurant, location"
"restaurant, geographic","restaurant, geographic"
"restaurant, location","restaurant, location"
"restaurant, geographic, location","restaurant, geographic, location"
"restaurant, location","restaurant, location"
"restaurant, location","restaurant, location"
"restaurant, location","restaurant, location"
"restaurant, geographic, location","restaurant, geographic, location"
"restaurant, location","restaurant, location"
"restaurant, location","restaurant, location"
"restaurant, geographic, location","restaurant, geographic, location"
"restaurant, location","restaurant, location"
"restaurant, location","restaurant, location"
"restaurant, location","restaurant, location"
"restaurant, location","restaurant, location"
"restaurant, location","restaurant, location"
"restaurant, location","restaurant, location"
"user_profiles, follows","user_profiles, follows"
tweets,tweets
user_profiles,user_profiles
"user_profiles, tweets","user_profiles, tweets"
"user_profiles, follows",user_profiles
tweets,tweets
"user_profiles, tweets","user_profiles, tweets"
user_profiles,None
user_profiles,user_profiles
"user_profiles, tweets",tweets
follows,user_profiles
user_profiles,user_profiles
"user_profiles, tweets","user_profiles, tweets"
user_profiles,user_profiles
user_profiles,customers
"user_profiles, tweets","user_profiles, tweets"
tweets,tweets
tweets,tweets
"user_profiles, tweets","user_profiles, tweets"
user_profiles,user_profiles
user_profiles,user_profiles
"user_profiles, follows","user_profiles, follows"
follows,user_profiles
"user_profiles, follows","user_profiles, follows"
user_profiles,user_profiles
weather,weather
station,station
weather,weather
"trip, station","station, trip"
weather,weather
weather,weather
weather,weather
station,station
trip,trip
trip,trip
station,station
"station, trip","station, trip"
trip,trip
trip,trip
weather,weather
"station, status","station, status"
station,station
"station, status","station, status"
trip,trip
"station, trip","station, trip"
trip,trip
weather,weather
"station, trip","station, trip"
"station, trip","station, trip"
"weather, trip","weather, trip"
"station, status","station, status"
"station, status","station, status"
weather,weather
station,station
station,station
"station, trip","station, trip"
weather,weather
"station, status","station, status"
trip,trip
"trip, station","station, trip"
weather,weather
trip,trip
weather,weather
"trip, station",trip
station,station
weather,weather
"trip, weather","trip, weather"
weather,weather
weather,weather
trip,trip
"station, status","station, status"
trip,trip
weather,weather
weather,weather
weather,weather
trip,trip
"station, status","station, status"
trip,trip
trip,trip
station,station
trip,trip
"status, station","station, status"
"station, trip","station, trip"
weather,weather
"station, status","station, status"
weather,weather
weather,weather
trip,trip
station,station
weather,weather
weather,weather
"station, status","station, status"
weather,weather
station,station
"station, status","station, status"
station,station
"station, status","station, status"
"trip, station","station, trip"
weather,weather
trip,trip
"station, trip","station, trip"
"trip, station",trip
trip,trip
weather,weather
station,station
weather,weather
"trip, weather","trip, weather"
weather,weather
"station, status","station, status"
"station, trip","station, trip"
weather,weather
"status, station","status, station"
"station, trip","station, trip"
"weather, trip","weather, trip"
"station, trip","station, trip"
trip,trip
"station, trip","station, trip"
station,business
weather,weather
degrees,"campuses, degrees"
campuses,campuses
"campuses, faculty, degrees","campuses, faculty, degrees"
"discipline_enrollments, campuses","discipline_enrollments, campuses"
"campuses, faculty","campuses, faculty"
degrees,"campuses, degrees"
campuses,campuses
"campuses, degrees","campuses, degrees"
"campuses, faculty","campuses, faculty"
campuses,campuses
campuses,campuses
faculty,faculty
"faculty, campuses","faculty, campuses"
campuses,campuses
csu_fees,csu_fees
"campuses, faculty","campuses, faculty"
degrees,degrees
campuses,campuses
"discipline_enrollments, campuses","discipline_enrollments, campuses"
"campuses, degrees","campuses, degrees"
degrees,degrees
csu_fees,csu_fees
"campuses, faculty, degrees","campuses, faculty, degrees"
"csu_fees, campuses","csu_fees, campuses"
"campuses, degrees","campuses, degrees"
"faculty, campuses","faculty, campuses"
"campuses, enrollments","campuses, enrollments"
"campuses, degrees","campuses, degrees"
campuses,campuses
"campuses, faculty, degrees","campuses, faculty, degrees"
campuses,campuses
"faculty, campuses","faculty, campuses"
campuses,campuses
campuses,campuses
"campuses, degrees","campuses, degrees"
campuses,campuses
csu_fees,csu_fees
"campuses, csu_fees","campuses, csu_fees"
"faculty, campuses","faculty, campuses"
"csu_fees, campuses","campuses, csu_fees"
"campuses, csu_fees","campuses, csu_fees"
campuses,campuses
"campuses, faculty, degrees","campuses, faculty, degrees"
campuses,campuses
csu_fees,csu_fees
"campuses, faculty","campuses, faculty"
"discipline_enrollments, campuses","discipline_enrollments, campuses"
campuses,campuses
csu_fees,csu_fees
campuses,campuses
"csu_fees, campuses","campuses, csu_fees"
"campuses, degrees","campuses, degrees"
"campuses, enrollments","campuses, enrollments"
campuses,campuses
"campuses, faculty","campuses, faculty"
csu_fees,csu_fees
"csu_fees, campuses","csu_fees, campuses"
"campuses, degrees","campuses, degrees"
"campuses, degrees","campuses, degrees"
campuses,campuses
csu_fees,csu_fees
"discipline_enrollments, campuses","discipline_enrollments, campuses"
"campuses, faculty","campuses, faculty"
journalist,journalist
"news_report, event, journalist","news_report, journalist, event"
"news_report, event, journalist","news_report, journalist, event"
journalist,journalist
journalist,journalist
journalist,journalist
"journalist, news_report","journalist, news_report"
event,event
"news_report, event, journalist","news_report, journalist"
event,event
"news_report, event, journalist","news_report, journalist"
"journalist, news_report","journalist, news_report"
journalist,journalist
journalist,journalist
journalist,journalist
event,event
journalist,journalist
rooms,rooms
rooms,rooms
rooms,rooms
reservations,reservations
rooms,rooms
rooms,rooms
rooms,rooms
reservations,reservations
"reservations, rooms","reservations, rooms"
"reservations, rooms","reservations, rooms"
rooms,rooms
rooms,rooms
reservations,reservations
"reservations, rooms","reservations, rooms"
reservations,reservations
"reservations, rooms","reservations, rooms"
rooms,rooms
reservations,reservations
rooms,rooms
"reservations, rooms","reservations, apartment_buildings, apartments"
"reservations, rooms","reservations, rooms"
"reservations, rooms","reservations, rooms"
"reservations, rooms","reservations, rooms"
rooms,rooms
"reservations, rooms","reservations, rooms"
rooms,rooms
rooms,rooms
rooms,rooms
rooms,rooms
rooms,rooms
rooms,rooms
rooms,rooms
"reservations, rooms","reservations, rooms"
rooms,rooms
rooms,rooms
rooms,rooms
reservations,reservations
"reservations, rooms","reservations, rooms"
"rooms, reservations","rooms, reservations"
rooms,rooms
rooms,rooms
rooms,rooms
rooms,rooms
rooms,rooms
"reservations, rooms","reservations, rooms"
"reservations, rooms","reservations, rooms"
"reservations, rooms","reservations, rooms"
rooms,rooms
reservations,reservations
rooms,rooms
rooms,rooms
rooms,rooms
rooms,rooms
reservations,reservations
rooms,rooms
rooms,rooms
rooms,rooms
rooms,rooms
rooms,rooms
rooms,rooms
rooms,rooms
rooms,rooms
rooms,rooms
rooms,rooms
rooms,rooms
rooms,rooms
rooms,rooms
"authors, authorship, papers","authors, authorship, papers"
"authors, authorship, inst","authors, authorship, inst"
"authors, authorship, inst","authors, authorship, inst"
"authors, authorship, papers, inst","authors, authorship, papers, inst"
"authors, authorship, papers","authors, authorship, papers"
papers,papers
"authors, authorship, papers","authors, authorship, papers"
authors,authors
inst,inst
papers,papers
"authors, authorship, papers","writes, papers"
papers,papers
"authors, authorship, inst","authors, authorship, inst"
"authors, authorship, papers","authors, authorship, papers"
authors,authors
"inst, authorship, papers","authorship, inst, papers"
"papers, authorship, inst","authorship, papers, inst"
"authors, authorship, papers","authors, authorship, papers"
"papers, authorship, inst","authorship, papers, inst"
papers,papers
authors,authors
"authors, authorship, inst","authors, authorship, inst"
"papers, authorship, inst","authorship, papers, inst"
"authors, authorship, papers","authors, authorship, papers"
authors,authors
"authors, authorship, papers","authors, authorship, papers"
authors,authors
"authors, authorship, papers, inst","authors, authorship, papers, inst"
authors,authors
"authors, authorship, papers","authors, authorship, papers"
"inst, authorship, papers","inst, papers"
"authors, authorship, papers","writes, papers"
"authors, authorship, papers","authors, authorship, papers"
"authors, authorship, inst","authors, authorship, inst"
"authors, authorship, papers","authors, authorship, papers"
"authors, authorship, papers","authors, authorship, papers"
authors,authors
"papers, authorship, inst","authorship, papers, inst"
"papers, authorship, inst","authorship, papers, inst"
"inst, authorship, papers","authorship, inst, papers"
authors,authors
"authors, authorship, inst","authors, authorship, inst"
authors,authors
"authors, authorship, papers","authors, authorship, papers"
authors,authors
"authorship, papers","authorship, papers"
"authors, authorship, papers","authors, authorship, papers"
authors,authors
"authors, authorship, papers","authors, authorship, papers"
"authors, authorship, papers","authors, authorship, papers"
inst,inst
"papers, authorship, inst","authorship, papers, inst"
"inst, authorship, papers","inst, papers"
"authors, authorship, papers","writes, papers"
"authors, authorship, papers, inst","authors, authorship, papers, inst"
"papers, authorship, inst","authorship, papers, inst"
"authors, authorship, papers","writes, papers"
