question,create_table,sql,table_name
What was the highest amount of losses when there were 45 goals and the play was smaller than 38?,"CREATE TABLE 2-17838016-2 (
  ""Position"" TEXT,
  ""Club"" TEXT,
  ""Played"" TEXT,
  ""Points"" TEXT,
  ""Wins"" TEXT,
  ""Draws"" TEXT,
  ""Losses"" TEXT,
  ""Goals_for"" TEXT,
  ""Goals_against"" TEXT,
  ""Goal_Difference"" TEXT
);","SELECT MAX(""Losses"") FROM 2-17838016-2 WHERE ""Goals_for"" = 45 AND ""Played"" < 38",2-17838016-2
What is the %2006 when the %2001 was more than 62.5?,"CREATE TABLE 2-11410144-1 (
  ""Parties_and_voter_communities"" TEXT,
  ""__2006"" TEXT,
  ""Seats_2006"" TEXT,
  ""__2001"" TEXT,
  ""Seats_2001"" TEXT
);","SELECT AVG(""__2006"") FROM 2-11410144-1 WHERE ""__2001"" > 62.5",2-11410144-1
What is the percentage for Schweitzer when the lead margin is 29?,"CREATE TABLE 2-17538810-3 (
  ""Poll_Source"" TEXT,
  ""Dates_administered"" TEXT,
  ""Democrat__Brian_Schweitzer"" TEXT,
  ""Republican__Roy_Brown"" TEXT,
  ""Libertarian__Stan_Jones"" TEXT,
  ""Lead_Margin"" TEXT
);","SELECT ""Democrat__Brian_Schweitzer"" FROM 2-17538810-3 WHERE ""Lead_Margin"" = 29",2-17538810-3
What's the percentage of EU average GDP (PPP) in the region where € per capita is 2519,"CREATE TABLE 1-2293510-1 (
  ""Region___NUTS_2006_"" TEXT,
  ""Total__million____"" TEXT,
  ""__per_capita__2005_"" TEXT,
  ""PPP__million___"" TEXT,
  ""PPP___per_capita"" TEXT,
  ""__of_EU_average_GDP__PPP_"" TEXT
);","SELECT ""__of_EU_average_GDP__PPP_"" FROM 1-2293510-1 WHERE ""__per_capita__2005_"" = 2519",1-2293510-1
What time was the game during week 5?,"CREATE TABLE 2-14699896-11 (
  ""Week"" TEXT,
  ""Date"" TEXT,
  ""Opponent"" TEXT,
  ""Location"" TEXT,
  ""Time___ET__"" TEXT,
  ""Result"" TEXT,
  ""Record"" TEXT
);","SELECT ""Time___ET__"" FROM 2-14699896-11 WHERE ""Week"" = 5",2-14699896-11
What was the total number who attended during week 11?,"CREATE TABLE 2-15124594-1 (
  ""Week"" TEXT,
  ""Date"" TEXT,
  ""Opponent"" TEXT,
  ""Result"" TEXT,
  ""Attendance"" TEXT
);","SELECT COUNT(""Attendance"") FROM 2-15124594-1 WHERE ""Week"" = 11",2-15124594-1
What driver has grid 2 and over 72 laps?,"CREATE TABLE 2-1122714-1 (
  ""Driver"" TEXT,
  ""Constructor"" TEXT,
  ""Laps"" TEXT,
  ""Time_Retired"" TEXT,
  ""Grid"" TEXT
);","SELECT ""Driver"" FROM 2-1122714-1 WHERE ""Laps"" > 72 AND ""Grid"" = 2",2-1122714-1
"What is the highest number of draws with more than 15 points, an against of 19, and less than 3 losses?","CREATE TABLE 2-15385631-2 (
  ""Position"" TEXT,
  ""Team"" TEXT,
  ""Points"" TEXT,
  ""Played"" TEXT,
  ""Drawn"" TEXT,
  ""Lost"" TEXT,
  ""Against"" TEXT,
  ""Difference"" TEXT
);","SELECT MAX(""Drawn"") FROM 2-15385631-2 WHERE ""Points"" > 15 AND ""Against"" = 19 AND ""Lost"" < 3",2-15385631-2
What is the average number of losses for teams with fewer than 0 wins?,"CREATE TABLE 2-14417906-8 (
  ""Season"" TEXT,
  ""Team"" TEXT,
  ""Wins"" TEXT,
  ""Losses"" TEXT,
  ""Draws"" TEXT
);","SELECT AVG(""Losses"") FROM 2-14417906-8 WHERE ""Wins"" < 0",2-14417906-8
I want to know the highest rank with placings more than 123 and points greater than 88.06,"CREATE TABLE 2-11178110-5 (
  ""Rank"" TEXT,
  ""Name"" TEXT,
  ""Nation"" TEXT,
  ""Points"" TEXT,
  ""Placings"" TEXT
);","SELECT MAX(""Rank"") FROM 2-11178110-5 WHERE ""Placings"" > 123 AND ""Points"" > 88.06",2-11178110-5
What is the total number of bronze medals of the team with more than 8 silvers and a total of 50 medals?,"CREATE TABLE 2-1175760-3 (
  ""Rank"" TEXT,
  ""Nation"" TEXT,
  ""Gold"" TEXT,
  ""Silver"" TEXT,
  ""Bronze"" TEXT,
  ""Total"" TEXT
);","SELECT COUNT(""Bronze"") FROM 2-1175760-3 WHERE ""Silver"" > 8 AND ""Total"" = 50",2-1175760-3
"What is the average number of played of the team with 3 losses, more than 9 points, a position of 5, and less than 12 against?","CREATE TABLE 2-15244400-2 (
  ""Position"" TEXT,
  ""Team"" TEXT,
  ""Points"" TEXT,
  ""Played"" TEXT,
  ""Drawn"" TEXT,
  ""Lost"" TEXT,
  ""Against"" TEXT,
  ""Difference"" TEXT
);","SELECT AVG(""Played"") FROM 2-15244400-2 WHERE ""Lost"" = 3 AND ""Points"" > 9 AND ""Position"" = 5 AND ""Against"" < 12",2-15244400-2
What was the date when the attendance was 63995,"CREATE TABLE 1-14875671-1 (
  ""Week"" TEXT,
  ""Date"" TEXT,
  ""Opponent"" TEXT,
  ""Result"" TEXT,
  ""Record"" TEXT,
  ""Game_Site"" TEXT,
  ""Attendance"" TEXT
);","SELECT ""Date"" FROM 1-14875671-1 WHERE ""Attendance"" = 63995",1-14875671-1
What is the total number of against when they had 14 losses and more than 0 byes?,"CREATE TABLE 2-17982112-6 (
  ""Geelong_FL"" TEXT,
  ""Wins"" TEXT,
  ""Byes"" TEXT,
  ""Losses"" TEXT,
  ""Draws"" TEXT,
  ""Against"" TEXT
);","SELECT SUM(""Against"") FROM 2-17982112-6 WHERE ""Losses"" = 14 AND ""Byes"" > 0",2-17982112-6
What is the class of facility ID 150935?,"CREATE TABLE 2-15493221-1 (
  ""Call_sign"" TEXT,
  ""Frequency_MHz"" TEXT,
  ""City_of_license"" TEXT,
  ""Facility_ID"" TEXT,
  ""ERP_W"" TEXT,
  ""Height_m___ft__"" TEXT,
  ""Class"" TEXT,
  ""FCC_info"" TEXT
);","SELECT ""Class"" FROM 2-15493221-1 WHERE ""Facility_ID"" = 150935",2-15493221-1
Which club has 1 cap?,"CREATE TABLE 2-11783766-9 (
  ""Player"" TEXT,
  ""Position"" TEXT,
  ""Date_of_Birth__Age_"" TEXT,
  ""Caps"" TEXT,
  ""Club_province"" TEXT
);","SELECT ""Club_province"" FROM 2-11783766-9 WHERE ""Caps"" = 1",2-11783766-9
I want to know the peak which is prom less than 147 and height less than 619,"CREATE TABLE 2-10814429-1 (
  ""Peak"" TEXT,
  ""Height__m_"" TEXT,
  ""Prom___m_"" TEXT,
  ""Class"" TEXT,
  ""Parent"" TEXT
);","SELECT ""Peak"" FROM 2-10814429-1 WHERE ""Prom___m_"" < 147 AND ""Height__m_"" < 619",2-10814429-1
What is the earliest year when the points were more than 0?,"CREATE TABLE 2-1236195-3 (
  ""Year"" TEXT,
  ""Entrant"" TEXT,
  ""Chassis"" TEXT,
  ""Engine"" TEXT,
  ""Points"" TEXT
);","SELECT MIN(""Year"") FROM 2-1236195-3 WHERE ""Points"" > 0",2-1236195-3
What is the lowest apps for rank 3 and 0% wins?,"CREATE TABLE 2-18634046-2 (
  ""Rank"" TEXT,
  ""Team"" TEXT,
  ""Apps"" TEXT,
  ""Record"" TEXT,
  ""Win__"" TEXT
);","SELECT MIN(""Apps"") FROM 2-18634046-2 WHERE ""Rank"" = 3 AND ""Win__"" < 0",2-18634046-2
What was the winning % when there were 322 goals? ,"CREATE TABLE 1-2259285-1 (
  ""Season"" TEXT,
  ""Games"" TEXT,
  ""Won"" TEXT,
  ""Lost"" TEXT,
  ""Tied"" TEXT,
  ""Points"" TEXT,
  ""Winning_Pct___"" TEXT,
  ""Goals_for"" TEXT,
  ""Goals_against"" TEXT,
  ""Standing"" TEXT
);","SELECT ""Winning_Pct___"" FROM 1-2259285-1 WHERE ""Goals_for"" = 322",1-2259285-1
What is the segment B of episode 242?,"CREATE TABLE 1-15187735-19 (
  ""Series_Ep_"" TEXT,
  ""Episode"" TEXT,
  ""Segment_A"" TEXT,
  ""Segment_B"" TEXT,
  ""Segment_C"" TEXT,
  ""Segment_D"" TEXT
);","SELECT ""Segment_B"" FROM 1-15187735-19 WHERE ""Episode"" = 242",1-15187735-19
what's the district  with first elected being 1938,"CREATE TABLE 1-1342292-2 (
  ""District"" TEXT,
  ""Incumbent"" TEXT,
  ""Party"" TEXT,
  ""First_elected"" TEXT,
  ""Result"" TEXT,
  ""Candidates"" TEXT
);","SELECT ""District"" FROM 1-1342292-2 WHERE ""First_elected"" = 1938",1-1342292-2
What is the highest pick for a year after 2010 and a round larger than 1?,"CREATE TABLE 2-18067099-3 (
  ""Year"" TEXT,
  ""Round"" TEXT,
  ""Pick"" TEXT,
  ""Player"" TEXT,
  ""NBA_Club"" TEXT
);","SELECT MAX(""Pick"") FROM 2-18067099-3 WHERE ""Year"" > 2010 AND ""Round"" > 1",2-18067099-3
What is the Total number of medals for the Nation with 7 or less Bronze medals and 1 Silver medal with a Rank of 9 or larger?,"CREATE TABLE 2-18532667-2 (
  ""Rank"" TEXT,
  ""Nation"" TEXT,
  ""Gold"" TEXT,
  ""Silver"" TEXT,
  ""Bronze"" TEXT,
  ""Total"" TEXT
);","SELECT MIN(""Total"") FROM 2-18532667-2 WHERE ""Bronze"" < 7 AND ""Silver"" = 1 AND ""Rank"" > 9",2-18532667-2
Where was the game where the senators scored 80 points?,"CREATE TABLE 2-17040191-10 (
  ""Game"" TEXT,
  ""Date"" TEXT,
  ""Opponent"" TEXT,
  ""Score"" TEXT,
  ""Location"" TEXT,
  ""Attendance"" TEXT,
  ""Record"" TEXT,
  ""Points"" TEXT
);","SELECT ""Location"" FROM 2-17040191-10 WHERE ""Points"" = 80",2-17040191-10
Which college has a pick number of 155?,"CREATE TABLE 2-15352703-1 (
  ""Round"" TEXT,
  ""Pick__"" TEXT,
  ""Player"" TEXT,
  ""Position"" TEXT,
  ""College"" TEXT
);","SELECT ""College"" FROM 2-15352703-1 WHERE ""Pick__"" = 155",2-15352703-1
"What is the lowest against value with less than 2 draws, 10 points, and less than 4 lost?","CREATE TABLE 2-15220905-2 (
  ""Position"" TEXT,
  ""Team"" TEXT,
  ""Points"" TEXT,
  ""Played"" TEXT,
  ""Drawn"" TEXT,
  ""Lost"" TEXT,
  ""Against"" TEXT,
  ""Difference"" TEXT
);","SELECT MIN(""Against"") FROM 2-15220905-2 WHERE ""Drawn"" < 2 AND ""Points"" = 10 AND ""Lost"" < 4",2-15220905-2
What average rank that has a silver less than 0?,"CREATE TABLE 2-15807776-2 (
  ""Rank"" TEXT,
  ""Nation"" TEXT,
  ""Gold"" TEXT,
  ""Silver"" TEXT,
  ""Bronze"" TEXT,
  ""Total"" TEXT
);","SELECT AVG(""Rank"") FROM 2-15807776-2 WHERE ""Silver"" < 0",2-15807776-2
Who was the winner when the total attendance was 16597?,"CREATE TABLE 1-1672976-5 (
  ""Date"" TEXT,
  ""Time"" TEXT,
  ""ACC_Team"" TEXT,
  ""Big_Ten_Team"" TEXT,
  ""Location"" TEXT,
  ""Television"" TEXT,
  ""Attendance"" TEXT,
  ""Winner"" TEXT,
  ""Challenge_Leader"" TEXT
);","SELECT ""Winner"" FROM 1-1672976-5 WHERE ""Attendance"" = 16597",1-1672976-5
"How many losses have points less than 3, with a drawn greater than 0?","CREATE TABLE 2-14076898-1 (
  ""Games"" TEXT,
  ""Drawn"" TEXT,
  ""Lost"" TEXT,
  ""Goal_difference"" TEXT,
  ""Points"" TEXT
);","SELECT SUM(""Lost"") FROM 2-14076898-1 WHERE ""Points"" < 3 AND ""Drawn"" > 0",2-14076898-1
What is the most goals for when there are fewer than 4 draws?,"CREATE TABLE 2-17589003-1 (
  ""Position"" TEXT,
  ""Team"" TEXT,
  ""Played"" TEXT,
  ""Drawn"" TEXT,
  ""Lost"" TEXT,
  ""Goals_For"" TEXT,
  ""Goals_Against"" TEXT,
  ""Goal_Difference"" TEXT,
  ""Points_1"" TEXT
);","SELECT MAX(""Goals_For"") FROM 2-17589003-1 WHERE ""Drawn"" < 4",2-17589003-1
Name the genre for release-year of first charted record of 1988,"CREATE TABLE 2-1291598-5 (
  ""Artist"" TEXT,
  ""Country_of_origin"" TEXT,
  ""Period_active"" TEXT,
  ""Release_year_of_first_charted_record"" TEXT,
  ""Genre"" TEXT,
  ""Claimed_sales"" TEXT
);","SELECT ""Genre"" FROM 2-1291598-5 WHERE ""Release_year_of_first_charted_record"" = 1988",2-1291598-5
What is the total against with 1 draw and less than 8 played?,"CREATE TABLE 2-1232782-5 (
  ""Competition"" TEXT,
  ""Played"" TEXT,
  ""Draw"" TEXT,
  ""Lost"" TEXT,
  ""Against"" TEXT
);","SELECT SUM(""Against"") FROM 2-1232782-5 WHERE ""Draw"" = 1 AND ""Played"" < 8",2-1232782-5
"How much Played has Goals against smaller than 34, and Wins smaller than 13?","CREATE TABLE 2-17715861-4 (
  ""Position"" TEXT,
  ""Club"" TEXT,
  ""Played"" TEXT,
  ""Points"" TEXT,
  ""Wins"" TEXT,
  ""Draws"" TEXT,
  ""Losses"" TEXT,
  ""Goals_for"" TEXT,
  ""Goals_against"" TEXT,
  ""Goal_Difference"" TEXT
);","SELECT SUM(""Played"") FROM 2-17715861-4 WHERE ""Goals_against"" < 34 AND ""Wins"" < 13",2-17715861-4
What is the sum of the areas for populations of 542?,"CREATE TABLE 2-170961-1 (
  ""Official_Name"" TEXT,
  ""Status"" TEXT,
  ""Area_km_2"" TEXT,
  ""Population"" TEXT,
  ""Census_Ranking"" TEXT
);","SELECT SUM(""Area_km_2"") FROM 2-170961-1 WHERE ""Population"" = 542",2-170961-1
how many maximum winners,"CREATE TABLE 1-12303563-2 (
  ""_"" TEXT,
  ""Nation"" TEXT,
  ""Winners"" TEXT,
  ""Runners_up"" TEXT,
  ""_3rd_Place"" TEXT,
  ""_4th_Place"" TEXT
);","SELECT MAX(""Winners"") FROM 1-12303563-2",1-12303563-2
On what date was the game more than 5?,"CREATE TABLE 2-13619027-12 (
  ""Game"" TEXT,
  ""Date"" TEXT,
  ""Team"" TEXT,
  ""Score"" TEXT,
  ""High_points"" TEXT,
  ""High_rebounds"" TEXT,
  ""High_assists"" TEXT,
  ""Location_Attendance"" TEXT,
  ""Series"" TEXT
);","SELECT ""Date"" FROM 2-13619027-12 WHERE ""Game"" > 5",2-13619027-12
What was the kickoff time for week 11's game?,"CREATE TABLE 2-15331481-1 (
  ""Week"" TEXT,
  ""Date"" TEXT,
  ""Opponent"" TEXT,
  ""Result"" TEXT,
  ""Kickoff_Time"" TEXT,
  ""Attendance"" TEXT
);","SELECT ""Kickoff_Time"" FROM 2-15331481-1 WHERE ""Week"" = 11",2-15331481-1
What is the least amount of wins earlier than 1964 with more than 7 points?,"CREATE TABLE 2-1234982-2 (
  ""Year"" TEXT,
  ""Class"" TEXT,
  ""Team"" TEXT,
  ""Points"" TEXT,
  ""Wins"" TEXT
);","SELECT MIN(""Wins"") FROM 2-1234982-2 WHERE ""Year"" < 1964 AND ""Points"" > 7",2-1234982-2
"What are the average goals for with a drawn higher than 7 and goals against less than 86, as well as more than 11 losses and more than 42 games played?","CREATE TABLE 2-17386462-1 (
  ""Position"" TEXT,
  ""Team"" TEXT,
  ""Played"" TEXT,
  ""Drawn"" TEXT,
  ""Lost"" TEXT,
  ""Goals_For"" TEXT,
  ""Goals_Against"" TEXT,
  ""Goal_Difference"" TEXT,
  ""Points_1"" TEXT
);","SELECT AVG(""Goals_For"") FROM 2-17386462-1 WHERE ""Drawn"" > 7 AND ""Goals_Against"" < 86 AND ""Lost"" > 11 AND ""Played"" > 42",2-17386462-1
What was release date in 1992 with the ISBN #0?,"CREATE TABLE 2-11222744-1 (
  ""Year"" TEXT,
  ""Title"" TEXT,
  ""Publisher"" TEXT,
  ""Release_Date"" TEXT,
  ""Copyright_Information"" TEXT,
  ""ISBN"" TEXT
);","SELECT ""Release_Date"" FROM 2-11222744-1 WHERE ""ISBN"" = 0 AND ""Year"" = 1992",2-11222744-1
"How many pommel Horses have Rings of 37.461, and a Total smaller than 229.507?","CREATE TABLE 2-11542215-2 (
  ""Rank"" TEXT,
  ""Team"" TEXT,
  ""Floor_Exercise"" TEXT,
  ""Pommel_Horse"" TEXT,
  ""Rings"" TEXT,
  ""Vault"" TEXT,
  ""Parallel_Bars"" TEXT,
  ""Horizontal_Bar"" TEXT,
  ""Total"" TEXT
);","SELECT COUNT(""Pommel_Horse"") FROM 2-11542215-2 WHERE ""Rings"" = 37.461 AND ""Total"" < 229.507",2-11542215-2
"What is the Top-25 with a Top-10 of 8, and an Events of 45?","CREATE TABLE 2-1544891-6 (
  ""Tournament"" TEXT,
  ""Wins"" TEXT,
  ""Top_5"" TEXT,
  ""Top_10"" TEXT,
  ""Top_25"" TEXT,
  ""Events"" TEXT,
  ""Cuts_made"" TEXT
);","SELECT AVG(""Top_25"") FROM 2-1544891-6 WHERE ""Top_10"" = 8 AND ""Events"" = 45",2-1544891-6
How many people wrote episode 68 in the series?,"CREATE TABLE 1-228973-5 (
  ""No__in_series"" TEXT,
  ""No__in_season"" TEXT,
  ""Title"" TEXT,
  ""Directed_by"" TEXT,
  ""Written_by"" TEXT,
  ""Original_air_date"" TEXT
);","SELECT COUNT(""Written_by"") FROM 1-228973-5 WHERE ""No__in_series"" = 68",1-228973-5
How many games were numbered 13?,"CREATE TABLE 1-27700530-9 (
  ""Game"" TEXT,
  ""Date"" TEXT,
  ""Team"" TEXT,
  ""Score"" TEXT,
  ""High_points"" TEXT,
  ""High_rebounds"" TEXT,
  ""High_assists"" TEXT,
  ""Location_Attendance"" TEXT,
  ""Record"" TEXT
);","SELECT COUNT(""Team"") FROM 1-27700530-9 WHERE ""Game"" = 13",1-27700530-9
What is the highest poplulation in July 2012 in the country with an area of 2149690 square kilometers?,"CREATE TABLE 1-166346-1 (
  ""Country"" TEXT,
  ""Region"" TEXT,
  ""Joined_OPEC"" TEXT,
  ""Population__July_2012_"" TEXT,
  ""Area__km__"" TEXT,
  ""Production___bbl__day_"" TEXT
);","SELECT MAX(""Population__July_2012_"") FROM 1-166346-1 WHERE ""Area__km__"" = 2149690",1-166346-1
What is the smallest number of poles when the fastest laps are less than 0?,"CREATE TABLE 2-16678131-2 (
  ""Season"" TEXT,
  ""Races"" TEXT,
  ""Wins"" TEXT,
  ""Podiums"" TEXT,
  ""Poles"" TEXT,
  ""Fastest_Laps"" TEXT
);","SELECT MIN(""Poles"") FROM 2-16678131-2 WHERE ""Fastest_Laps"" < 0",2-16678131-2
How many Points have a Played larger than 18?,"CREATE TABLE 2-14997324-5 (
  ""Position"" TEXT,
  ""Team"" TEXT,
  ""Played"" TEXT,
  ""Wins"" TEXT,
  ""Draws"" TEXT,
  ""Losses"" TEXT,
  ""Scored"" TEXT,
  ""Conceded"" TEXT,
  ""Points"" TEXT
);","SELECT COUNT(""Points"") FROM 2-14997324-5 WHERE ""Played"" > 18",2-14997324-5
 what's the player where 50 is 2 and n/o is 0,"CREATE TABLE 1-10621256-1 (
  ""Player"" TEXT,
  ""Matches"" TEXT,
  ""Inns"" TEXT,
  ""N_O"" TEXT,
  ""Runs"" TEXT,
  ""High_Score"" TEXT,
  ""Average"" TEXT,
  ""_100"" TEXT,
  ""_50"" TEXT,
  ""Catches"" TEXT,
  ""Stump"" TEXT
);","SELECT ""Player"" FROM 1-10621256-1 WHERE ""_50"" = 2 AND ""N_O"" = 0",1-10621256-1
"What country has a total larger than 293, and a to par less than 17?","CREATE TABLE 2-18049082-2 (
  ""Player"" TEXT,
  ""Country"" TEXT,
  ""Year_s__won"" TEXT,
  ""Total"" TEXT,
  ""To_par"" TEXT,
  ""Finish"" TEXT
);","SELECT ""Country"" FROM 2-18049082-2 WHERE ""Total"" > 293 AND ""To_par"" < 17",2-18049082-2
What player has over 1 first apperance and over 32 first team goals?,"CREATE TABLE 2-11526405-3 (
  ""Player"" TEXT,
  ""Position"" TEXT,
  ""First_Team_Debut"" TEXT,
  ""First_Team_Appearances"" TEXT,
  ""First_Team_Goals"" TEXT,
  ""Current_Club"" TEXT
);","SELECT ""Player"" FROM 2-11526405-3 WHERE ""First_Team_Appearances"" > 1 AND ""First_Team_Goals"" = 32",2-11526405-3
Who had the lowest field goals but had 10 points and more than 2 touchdowns?,"CREATE TABLE 2-14342592-10 (
  ""Player"" TEXT,
  ""Touchdowns"" TEXT,
  ""Extra_points"" TEXT,
  ""Field_goals"" TEXT,
  ""Points"" TEXT
);","SELECT MIN(""Field_goals"") FROM 2-14342592-10 WHERE ""Points"" = 10 AND ""Touchdowns"" > 2",2-14342592-10
what is the lowest year represented?,"CREATE TABLE 1-177273-2 (
  ""Outcome"" TEXT,
  ""Year"" TEXT,
  ""Championship"" TEXT,
  ""Surface"" TEXT,
  ""Partner"" TEXT,
  ""Opponents"" TEXT,
  ""Score"" TEXT
);","SELECT MIN(""Year"") FROM 1-177273-2",1-177273-2
"Which Total has a Date of 1602, and Greater Doubles smaller than 16?","CREATE TABLE 2-18799425-1 (
  ""Date"" TEXT,
  ""Doubles__I_Class"" TEXT,
  ""Doubles__II_Class"" TEXT,
  ""Greater_Doubles"" TEXT,
  ""Doubles"" TEXT,
  ""Semidoubles"" TEXT,
  ""Total"" TEXT
);","SELECT MAX(""Total"") FROM 2-18799425-1 WHERE ""Date"" = 1602 AND ""Greater_Doubles"" < 16",2-18799425-1
"What is the total ATMs with off-site ATMs greater than 3672, and less than 1685 as the number of branches?","CREATE TABLE 2-1630037-2 (
  ""Bank_type"" TEXT,
  ""Number_of_branches"" TEXT,
  ""On_site_ATMs"" TEXT,
  ""Off_site_ATMs"" TEXT,
  ""Total_ATMs"" TEXT
);","SELECT COUNT(""Total_ATMs"") FROM 2-1630037-2 WHERE ""Off_site_ATMs"" > 3672 AND ""Number_of_branches"" < 1685",2-1630037-2
How many earnings have Wins larger than 3?,"CREATE TABLE 2-14611511-3 (
  ""Rank"" TEXT,
  ""Player"" TEXT,
  ""Country"" TEXT,
  ""Earnings______"" TEXT,
  ""Events"" TEXT,
  ""Wins"" TEXT
);","SELECT SUM(""Earnings______"") FROM 2-14611511-3 WHERE ""Wins"" > 3",2-14611511-3
"What island has a population over 76, a height over 210, and an area larger than 12068?","CREATE TABLE 2-12725824-1 (
  ""Island"" TEXT,
  ""Location"" TEXT,
  ""Area___ha__"" TEXT,
  ""Population"" TEXT,
  ""Height__m_"" TEXT
);","SELECT ""Island"" FROM 2-12725824-1 WHERE ""Population"" > 76 AND ""Height__m_"" > 210 AND ""Area___ha__"" > 12068",2-12725824-1
What nation finished with 11 silver medals?,"CREATE TABLE 2-18403541-8 (
  ""Rank"" TEXT,
  ""Nation"" TEXT,
  ""Gold"" TEXT,
  ""Silver"" TEXT,
  ""Bronze"" TEXT,
  ""Total"" TEXT
);","SELECT ""Nation"" FROM 2-18403541-8 WHERE ""Silver"" = 11",2-18403541-8
What was the attendance in week 8?,"CREATE TABLE 1-14875671-1 (
  ""Week"" TEXT,
  ""Date"" TEXT,
  ""Opponent"" TEXT,
  ""Result"" TEXT,
  ""Record"" TEXT,
  ""Game_Site"" TEXT,
  ""Attendance"" TEXT
);","SELECT MAX(""Attendance"") FROM 1-14875671-1 WHERE ""Week"" = 8",1-14875671-1
"1980 smaller than 719, and a 1960 smaller than 205, and a 1996[2] smaller than 364, and a 1970 larger than 251 is what 1990 highest?","CREATE TABLE 2-1404891-1 (
  ""_1950"" TEXT,
  ""_1960"" TEXT,
  ""_1970"" TEXT,
  ""_1980"" TEXT,
  ""_1990"" TEXT,
  ""_1996_2_"" TEXT
);","SELECT MAX(""_1990"") FROM 2-1404891-1 WHERE ""_1980"" < 719 AND ""_1960"" < 205 AND ""_1996_2_"" < 364 AND ""_1970"" > 251",2-1404891-1
What is the position that is shown for 2011?,"CREATE TABLE 2-14725734-2 (
  ""Year"" TEXT,
  ""Pick"" TEXT,
  ""Player"" TEXT,
  ""Position"" TEXT,
  ""Country"" TEXT,
  ""Previous_team__League_"" TEXT
);","SELECT ""Position"" FROM 2-14725734-2 WHERE ""Year"" = 2011",2-14725734-2
How many League cups had a total less than 25 and a league larger than 19?,"CREATE TABLE 2-15569452-4 (
  ""Player"" TEXT,
  ""Club"" TEXT,
  ""League"" TEXT,
  ""FA_Cup"" TEXT,
  ""FA_Trophy"" TEXT,
  ""League_Cup"" TEXT,
  ""Total"" TEXT
);","SELECT COUNT(""League_Cup"") FROM 2-15569452-4 WHERE ""Total"" < 25 AND ""League"" > 19",2-15569452-4
What school took 4th place in 2002?,"CREATE TABLE 1-11577996-1 (
  ""Year"" TEXT,
  ""Location"" TEXT,
  ""_1st_Place"" TEXT,
  ""_2nd_Place"" TEXT,
  ""_3rd_Place"" TEXT,
  ""_4th_Place"" TEXT,
  ""_5th_Place"" TEXT
);","SELECT ""_4th_Place"" FROM 1-11577996-1 WHERE ""Year"" = 2002",1-11577996-1
What is the most gold where silver is 0?,"CREATE TABLE 2-15409776-4 (
  ""Rank"" TEXT,
  ""Nation"" TEXT,
  ""Gold"" TEXT,
  ""Silver"" TEXT,
  ""Bronze"" TEXT,
  ""Total"" TEXT
);","SELECT MAX(""Gold"") FROM 2-15409776-4 WHERE ""Silver"" < 0",2-15409776-4
"What is the number of top-25s in events under 13, cuts made under 3, and 1 top-10?","CREATE TABLE 2-1610384-4 (
  ""Tournament"" TEXT,
  ""Wins"" TEXT,
  ""Top_10"" TEXT,
  ""Top_25"" TEXT,
  ""Events"" TEXT,
  ""Cuts_made"" TEXT
);","SELECT ""Top_25"" FROM 2-1610384-4 WHERE ""Events"" < 13 AND ""Cuts_made"" < 3 AND ""Top_10"" = 1",2-1610384-4
How many times has the 100s record been 1?,"CREATE TABLE 1-28547332-4 (
  ""Player"" TEXT,
  ""Matches"" TEXT,
  ""Innings"" TEXT,
  ""Runs"" TEXT,
  ""Average"" TEXT,
  ""Highest_Score"" TEXT,
  ""_100s"" TEXT,
  ""_50s"" TEXT
);","SELECT COUNT(""Highest_Score"") FROM 1-28547332-4 WHERE ""_100s"" = 1",1-28547332-4
What is the average draw for 186 games?,"CREATE TABLE 2-18506027-1 (
  ""League"" TEXT,
  ""number_of_seasons"" TEXT,
  ""total_games"" TEXT,
  ""Draw"" TEXT,
  ""Loss"" TEXT
);","SELECT AVG(""Draw"") FROM 2-18506027-1 WHERE ""total_games"" = 186",2-18506027-1
"Championship larger than 3, and a FA Cup smaller than 3, and a Total smaller than 6 involves what highest league cup?","CREATE TABLE 2-13650971-8 (
  ""Name"" TEXT,
  ""Championship"" TEXT,
  ""FA_Cup"" TEXT,
  ""League_Cup"" TEXT,
  ""Total"" TEXT
);","SELECT MAX(""League_Cup"") FROM 2-13650971-8 WHERE ""Championship"" > 3 AND ""FA_Cup"" < 3 AND ""Total"" < 6",2-13650971-8
What is the average 1940 value where 1929 values are 101.4 and 1933 values are over 68.3?,"CREATE TABLE 2-1610496-2 (
  ""Table_2__Depression_Data"" TEXT,
  ""_1929"" TEXT,
  ""_1931"" TEXT,
  ""_1933"" TEXT,
  ""_1937"" TEXT,
  ""_1938"" TEXT,
  ""_1940"" TEXT
);","SELECT AVG(""_1940"") FROM 2-1610496-2 WHERE ""_1929"" = 101.4 AND ""_1933"" > 68.3",2-1610496-2
How many platinum points were awarded when 70 silver points were awarded?,"CREATE TABLE 1-11254821-2 (
  ""Finishing_position"" TEXT,
  ""Points_awarded__Platinum_"" TEXT,
  ""Points_awarded__Gold_"" TEXT,
  ""Points_awarded__Silver_"" TEXT,
  ""Points_awarded__Satellite_"" TEXT
);","SELECT ""Points_awarded__Platinum_"" FROM 1-11254821-2 WHERE ""Points_awarded__Silver_"" = 70",1-11254821-2
